Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
11/29/2018,179.35,173.45,177.25,20892744,37005.52883,62784
11/30/2018,174.9,170.35,171.95,18393012,31750.12952,29915
12/3/2018,176.45,170,175.45,14068885,24513.69931,38371
12/4/2018,178.75,175.3,175.75,11481923,20310.75814,24920
12/5/2018,173,168.6,169.2,14960527,25528.20508,31901
12/6/2018,168.7,161.6,162.65,15428019,25425.92958,36990
12/7/2018,164.2,160.8,162.4,13545006,22013.99505,31981
12/10/2018,160.5,156.5,157.1,13520495,21405.96137,32627
12/11/2018,159.5,154.65,158.1,12094881,19031.18966,36612
12/12/2018,167.1,158,164.1,22461175,36743.64047,57136
12/13/2018,168,165.55,166.85,12235499,20418.7587,30243
12/14/2018,168.4,164.85,166.95,10091732,16850.56156,27530
12/17/2018,175.95,167.25,173.95,28526103,49523.03673,74085
12/18/2018,177.6,173.1,174.75,18015933,31511.57475,41153
12/19/2018,176.5,172.5,173.9,11540042,20121.5793,37616
12/20/2018,177.3,171.75,176.4,15819006,27683.90589,47832
12/21/2018,180.5,175.15,176.25,23742481,42294.37225,72900
12/24/2018,177.85,171.5,172.5,11374468,19950.84873,56604
12/26/2018,172.2,167.6,170.9,12044191,20473.01453,63398
12/27/2018,173.4,167.7,168.25,15231581,25873.31015,60286
12/28/2018,172.2,169.15,170.85,8669584,14837.86775,16879
12/31/2018,173.9,171.75,172.7,8511388,14707.36018,13522
1/1/2019,174.2,171.3,173.45,6715543,11598.66971,10491
1/2/2019,171.75,168,168.55,13410104,22776.69121,23691
1/3/2019,170.15,165.1,166.05,9321842,15642.67953,17816
1/4/2019,171.95,168.5,170.95,17650435,30087.77565,36458
1/7/2019,178.2,173.2,175.35,21438351,37789.53045,39479
1/8/2019,180.5,176.1,179.95,20128985,36033.38781,36372
1/9/2019,183.6,180.2,183.05,17468948,31802.3735,37448
1/10/2019,186.85,183.55,185.75,16961888,31505.21338,30101
1/11/2019,187.75,179.4,180.3,25902974,47279.45471,47488
